country,Country Code,Series Name,Series Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,Economic Fitness Metric,EF.EFM.OVRL.XD,0.068948,0.064491,0.21925,0.088009,0.14127,0.232,0.2721,0.19268,0.23499,0.19361,0.31171,0.19375,0.14549,0.20758,0.62194,0.31129,0.10048,0.077571,0.10157,0.053497,0.053695339
Albania,ALB,Economic Fitness Metric,EF.EFM.OVRL.XD,0.19011,0.44012,0.37589,0.43081,0.44994,0.54939,0.4648,0.47344,0.58089,0.49457,0.49526,0.46101,0.48162,0.86836,0.89086,0.42641,0.41327,0.42853,0.4238,0.34232,0.374622329
Algeria,DZA,Economic Fitness Metric,EF.EFM.OVRL.XD,0.026403,0.034917,0.0039139,0.027782,0.0091894,0.010191,0.016979,0.026201,0.010184,0.0050487,0.0022415,0.0040382,5E-07,0.0013195,0.0063216,0.0016128,1.04E-12,1.43E-40,1.58E-29,1.77E-44,3.28E-06
Andorra,AND,Economic Fitness Metric,EF.EFM.OVRL.XD,0.65982,0.6561,0.85326,0.85578,0.7634,0.85494,0.94285,0.80844,0.69105,0.72832,0.68253,0.78821,0.9071,0.75068,0.6402,0.46577,0.23063,0.61898,0.30037,0.18079,0.369420207
Angola,AGO,Economic Fitness Metric,EF.EFM.OVRL.XD,3.14E-61,2.21E-105,3.86E-113,3.31E-18,1.6E-20,5.66E-41,2.74E-36,8.3E-20,6.34E-54,9.96E-69,4.33E-86,8.44E-51,3.95E-84,4.54E-70,5.01E-21,5.03E-194,4.89E-253,0,3.81E-171,3.89E-233,7.89E-13
Argentina,ARG,Economic Fitness Metric,EF.EFM.OVRL.XD,0.78902,0.80379,0.92882,0.89541,0.88869,0.90567,0.84634,0.75577,0.78036,0.84766,0.84877,0.84941,0.85164,0.79967,0.81936,0.83044,0.63882,0.65138,0.57691,0.59698,0.621472353
Armenia,ARM,Economic Fitness Metric,EF.EFM.OVRL.XD,0.020267,0.54333,1.1829,0.79878,0.82219,0.61208,0.79189,0.46268,0.42479,0.37568,0.36613,0.31305,0.6387,0.50917,0.42582,0.32899,0.43946,0.42947,0.24752,0.21659,0.320281183
Australia,AUS,Economic Fitness Metric,EF.EFM.OVRL.XD,1.1167,1.1428,1.1126,0.9868,1.0267,1.1822,1.0335,1.0958,1.0195,0.84245,0.72776,0.69969,0.71359,0.59169,0.51095,0.42168,0.34349,0.37233,0.34311,0.38785,0.388480648
Austria,AUT,Economic Fitness Metric,EF.EFM.OVRL.XD,4.1483,3.9823,3.8046,3.7637,3.7841,3.593,3.5029,3.4871,3.4024,3.5376,3.5905,3.4143,3.3573,3.5055,3.4761,3.3548,3.5692,3.406,3.5407,3.5083,3.335967259
Azerbaijan,AZE,Economic Fitness Metric,EF.EFM.OVRL.XD,0.026633,0.40006,0.33687,0.3872,0.14784,0.13855,0.078571,0.10957,0.095481,0.083592,0.068886,0.065569,0.040849,0.015344,0.015961,0.019849,0.010694,0.0091757,0.0066342,0.0018631,0.006250701
